input,output
-122.7406674,-130.5720846
-121.5314194,-129.9389289
-134.917019,-130.1418321
-120.6059511,-125.7609321
-129.8947807,-112.7852137
-134.3666687,-116
-115.5637388,-126.2676214
-132.0801614,-132.0322057
-133.3666687,-114
-119.5241123,-94.41985546
-125.743622,-107.4993237
-133.3666687,-113
-114.1008952,-117.674002
-131.3666687,-111
-113.2783381,-99.43907611
-133.8181748,-127.0636111
-121.6535425,-128.8850301
-127.3666687,-101
-108.4996398,-96.21628083
-111.2536771,-85.09071142
-124.3666687,-93
-119.1166023,-78.13927519
-114.4105263,-86.81404312
-122.3666687,-89
-131.9053601,-92.18557515
-109.2783685,-99.40238374
-105.5046405,-76.60555952
-122.3666687,-86
-112.2579067,-85.95867942
-111.0440481,-73.35306605
-126.6376399,-91.74695772
-120.3666687,-81
-125.0856202,-94.93958463
-103.409788,-83.93283857
-115.2626373,-80.04480123
-119.3666687,-80
-104.9065286,-95.37931257
-99.7125535,-66.36818522
-117.3666687,-75
-116.3328387,-57.15089931
-125.3821591,-81.82343674
-103.2199847,-59.9087513
-115.3666687,-70
-120.2750927,-78.08783768
-113.2574809,-59.30063103
-96.69835134,-54.09911852
-115.3666687,-67
-101.9974407,-83.8759736
-111.9026024,-73.79401197
-130.789929,-83.82733147
-112.3666687,-61
-98.94771821,-57.82218601
-104.681987,-76.9771902
-112.8669092,-41.10723103
-110.3666687,-56
-108.6044447,-53.5821962
-96.69369402,-50.94802619
-113.9676037,-62.99177131
-109.3666687,-55
-124.5036828,-55.14545056
-117.2137042,-69.46269683
-121.2046658,-47.06037708
-107.3666687,-55
-104.9610089,-65.23538144
-117.6854971,-72.97830748
-89.40230539,-55.71583998
-103.3666687,-52
-100.5580459,-51.17616754
-120.2277907,-62.52893536
-94.30913766,-39.63824551
-97.3666687,-49
-91.04201528,-42.88038632
-78.20211469,-56.09749979
-95.15544932,-41.58095753
-93.3666687,-47
-81.77033439,-63.3590412
-87.0241036,-28.31035086
-110.0463219,-42.17763751
-89.3666687,-44
-85.41455691,-40.53765293
-92.64925409,-43.17696351
-101.6487395,-27.36712757
-85.3666687,-41
-84.28352954,-29.531183
-84.96966072,-41.50456363
-82.47330628,-30.84830515
-81.3666687,-38
-77.17078043,-54.99794856
-98.10881697,-45.74174419
-93.24668792,-44.03772921
-78.3666687,-35
-58.37606468,-44.89875934
-68.8784393,-42.54812756
-76.98891662,-44.78191214
-74.3666687,-34
-87.26897491,-40.44527072
-76.35324445,-19.81154525
-82.77428553,-51.36506174
-69.3666687,-33
-61.55889401,-33.24978183
-58.98819625,-42.24290053
-85.80860879,-28.62021799
-63.3666687,-33
-72.70797091,-39.59092256
-63.38650606,-20.97513743
-48.53668361,-29.37022433
-63.3666687,-33
-76.55524121,-23.92997877
-59.69060767,-43.66378035
-52.82573057,-17.98193677
-60.3666687,-33
-42.38717758,-15.23859065
-68.3758247,-18.31251762
-48.31029872,-33.92168429
-55.3666687,-34
-50.89986961,-51.66513308
-43.73980562,-22.52009114
-48.76670726,-43.54768479
-53.3666687,-36
-39.13115726,-16.71579079
-73.08455738,-46.5146921
-62.96446592,-45.24033613
-51.3666687,-37
-34.82187374,-28.82250803
-40.55217485,-30.02512536
-66.00888645,-49.96637079
-50.3666687,-39
-43.42088189,-41.31288872
-47.37293302,-50.56511127
-60.01363137,-52.25481351
-49.3666687,-39
-61.61160559,-52.67569749
-46.27445623,-25.42900714
-60.9840419,-27.17722722
-48.3666687,-41
-34.00460262,-57.31872135
-41.23533741,-35.67759484
-52.84690035,-40.14590743
-46.3666687,-42
-32.79228835,-41.71113559
-35.31338008,-39.09282369
-51.60894228,-33.18686303
-43.3666687,-44
-29.79892566,-48.29808186
-49.28165314,-30.23595041
-49.85239306,-33.3320673
-41.3666687,-45
-43.80026435,-63.79559443
-37.74056727,-46.17071559
-42.44028615,-58.00260598
-39.3666687,-47
-22.2303394,-41.38995329
-58.914585,-53.71494925
-43.67325559,-56.61692526
-36.3666687,-49
-50.89369773,-47.37086746
-51.08851937,-49.28631576
-47.18873909,-67.56915408
-34.3666687,-51
-28.78594602,-43.43105121
-17.57248795,-34.9739807
-16.43422927,-62.95674265
-31.3666687,-52
-26.20701778,-67.98276954
-41.75329574,-39.28621743
-50.37560751,-40.5520681
-28.3666687,-56
-19.06537265,-65.01735559
-10.03302214,-59.82378418
-16.48740103,-74.283475
-25.3666687,-60
-36.04595373,-67.36906194
-15.72408927,-75.24399431
-9.391966657,-61.16787001
-24.3666687,-63
-14.82309509,-68.40823423
-8.460922967,-58.74118736
-33.00413535,-66.69622105
-23.3666687,-66
-37.76516594,-61.16785103
-26.5689695,-48.38487745
-28.80949122,-67.53609568
-20.3666687,-68
-12.40866082,-52.84362136
-21.89561574,-68.72581737
-21.74031224,-51.0307231
-19.3666687,-69
-19.00663561,-78.68980878
-27.69218859,-65.22934947
-31.78880733,-49.89870701
-15.3666687,-72
-32.59975281,-69.10412547
-2.56631225,-90.85630969
-14.88210966,-82.99950683
-13.3666687,-73
-28.28145925,-66.67717533
-13.26753928,-76.47846772
2.131206792,-53.04804705
-9.366668701,-75
-27.49020375,-60.82534409
-7.677098033,-64.97087781
-27.47073653,-59.11962969
-3.366668701,-75
-0.946835246,-65.47228739
-12.30717375,-67.30625597
6.232961702,-76.62353946
-1.366668701,-76
-16.89230218,-63.41746806
-5.185124517,-70.20243924
-0.906411856,-87.04968828
2.633331299,-76
17.29084339,-86.77618185
-0.053444122,-93.21104281
7.608236037,-62.59521384
4.633331299,-77
5.776890023,-82.87370205
1.769256846,-70.40769996
-5.127361719,-93.45598818
6.633331299,-78
2.652099734,-78.97237496
-11.78803004,-82.8596582
19.38672393,-87.66219337
8.633331299,-78
15.83363293,-74.16838897
14.61577836,-61.00472007
-7.344009933,-74.48713388
12.6333313,-78
-5.224325585,-62.30602914
18.25867976,-58.3815826
3.309414429,-85.16360087
15.6333313,-78
-0.826171418,-68.18132714
18.27471569,-67.72892745
25.05751359,-60.14806655
17.6333313,-78
36.69202077,-90.24289704
31.11729361,-78.27402128
29.67149386,-73.48791167
20.6333313,-78
15.74042439,-87.01528927
36.71914025,-72.83375841
25.5671738,-83.9769767
27.6333313,-76
26.00801791,-86.08341372
35.81692213,-92.58017803
34.4750434,-56.54466803
33.6333313,-72
22.33027161,-78.74335888
46.31618757,-58.19827983
43.38798948,-76.02231946
36.6333313,-69
46.99919753,-73.19863132
22.52866332,-61.17085155
27.55542371,-88.89638841
39.6333313,-66
55.44449713,-47.43960797
55.47528165,-72.98043377
50.1059805,-85.90001399
42.6333313,-61
43.78781024,-45.48630807
25.86827601,-72.59163695
40.93601306,-57.31096879
44.6333313,-57
32.72388373,-45.82164171
34.37148828,-43.83048837
28.97650765,-37.53220503
47.6333313,-55
58.91579044,-63.86663357
63.24983624,-44.39220689
40.95082985,-74.22261609
52.6333313,-51
55.1718735,-43.12700344
62.76669813,-69.29720664
41.09625964,-48.69429586
54.6333313,-48
36.63059395,-39.63667139
62.28690026,-34.40501243
51.14007952,-44.17783796
58.6333313,-44
45.89987237,-34.4620394
55.39144421,-44.60494241
41.16895165,-62.90479574
63.6333313,-36
77.19718849,-25.28470337
81.58129222,-25.0746607
70.26410872,-36.7442528
68.6333313,-27
53.91664836,-25.87678293
70.90005448,-28.51022284
57.20674755,-22.93029483
72.6333313,-19
86.15365801,-28.30600144
71.01888331,-29.41554152
75.18573349,-11.25681014
74.6333313,-15
78.32298659,-9.99646719
64.64426165,-5.494824925
84.49846493,-22.30029946
76.6333313,-11
60.14399401,-29.91440954
82.89604966,1.467980851
73.8132914,-10.28008749
80.6333313,-3
70.0294931,-18.11702917
98.19870569,-3.230245597
82.76421171,-20.14323093
84.6333313,7
84.77524438,8.755984968
89.44524993,-0.116834019
72.04171715,11.947285
89.6333313,18
91.84910437,35.54328359
76.65852087,22.91589129
86.2740089,34.4399733
92.6333313,25
93.54570014,20.76041535
90.57672233,18.03833636
101.2707346,27.90016191
96.6333313,41
100.4674643,23.41974153
96.08331355,55.67716834
85.24119004,45.23878665
100.6333313,51
83.67882714,49.12797699
105.8866071,65.84630362
119.0248458,58.01520137
102.6333313,55
112.6598778,43.61714619
115.4332941,51.38717146
103.0789271,41.51795546
106.6333313,61
122.0154499,46.38835856
103.5799233,60.10208324
90.82227294,56.90605722
112.6333313,83
93.19808183,91.33827573
110.1351971,80.3365181
126.25779,82.36724538
112.6333313,89
114.2310589,100.4931074
112.0880697,84.46608551
94.668251,103.8184132
114.6333313,94
103.6168168,109.9652616
108.1348708,87.65325077
131.90958,94.63628875
115.6333313,101
122.3210184,102.4015316
105.0756003,90.8847302
103.8184685,86.00624836
117.6333313,107
126.5716611,116.3274991
111.921765,107.2929794
112.5890501,92.92781851
122.6333313,119
120.5892044,128.4164159
122.6333313,121
134.4631809,125.120374
125.91664,102.8245883
133.1015146,133.7931158
124.6333313,129
121.0600756,126.7503849
133.0240344,132.05527
106.7891091,126.5373083
38.6333313,-56
51.62247516,-41.93468253
46.14750387,-47.33074374
34.01840062,-52.68481864
46.6333313,-48
39.76323513,-31.3863487
65.4181158,-28.97956175
35.28236221,-58.86740713
51.6333313,-40
41.99099491,-40.03774583
62.31576772,-54.26272316
58.38690874,-34.81406491
56.6333313,-35
71.16098732,-23.66087616
36.78477325,-31.45742063
45.64962479,-37.65615936
58.6333313,-34
39.84865438,-30.91793406
49.34996863,-29.19500549
63.6225441,-19.53037002
62.6333313,-29
82.4902064,-17.38202143
50.31621288,-15.03105603
70.61621992,-20.32668023
66.6333313,-23
50.52121813,-27.95189099
66.46908649,-6.151724668
57.81271544,-5.25191765
69.6333313,-18
69.99778262,-0.816233679
73.59428217,-10.87340028
77.10752826,-9.061201558
73.6333313,-7
88.25616156,-17.91083606
58.9160873,5.150801609
71.03641899,7.107771754
77.6333313,-1
74.34604263,10.03590062
66.88622905,12.87885513
95.63848989,-11.42555386
80.6333313,5
94.82477999,1.216251778
62.58111922,-13.61885699
86.61172694,-3.16842193
82.6333313,13
65.59507435,-5.088153787
78.51750881,-1.93870527
73.46537222,1.493731221
84.6333313,21
77.44915486,29.15065648
80.21419524,5.964163766
93.94866414,21.9481929
88.6333313,29
105.7242686,41.63469698
76.59414876,24.55455007
99.53084675,40.29726254
90.6333313,33
83.15571981,22.40757901
100.8818575,41.36624334
98.20922281,16.8266058
92.6333313,37
107.9318825,22.86270988
74.41298046,38.24941962
112.6249097,23.82105647
93.6333313,39
75.80230803,48.02855258
87.32502757,32.58065789
105.4827326,52.55720382
97.6333313,48
96.46005449,61.38724061
98.82209025,59.36325164
79.80685918,60.11864347
100.6333313,61
101.7338025,80.26412693
115.0005466,65.49619763
83.27412351,59.42752283
102.6333313,67
120.2485568,74.11018474
105.2703064,74.73065812
117.5966596,73.94225713
104.6333313,71
92.31660855,63.25700098
89.85562364,67.62955189
99.33809238,77.05656398
106.6333313,79
104.0887767,69.38148907
88.41154465,83.25342662
123.6277237,60.83232939
108.6333313,89
110.1766028,100.9599261
116.194467,73.21211873
103.3030867,87.08107647
112.6333313,100
113.4197101,100.0000474
108.9908315,83.93005242
92.87962696,87.92508699
112.6333313,103
107.9920345,102.0504222
117.7597662,94.79950464
132.2814886,91.54096348
112.6333313,103
111.2355088,98.58331448
124.0215706,99.7648188
112.8067776,119.5931407
112.6333313,105
99.41493998,85.2392864
112.8405948,104.7542306
120.1030121,95.91099282
118.6333313,117
105.7058912,131.8415952
133.9073717,101.6377652
129.5416718,128.5894125
120.6333313,125
133.3589345,131.9163621
124.4528335,115.4380488
120.6333313,127
108.4136656,134.4254952
105.5507259,115.3676033
120.6333313,126
117.7568023,127.5743908
118.6333313,120
125.2329353,103.5618586
124.6410144,106.8797057
116.6333313,115
104.7722544,108.4355336
107.1731716,126.8997443
109.0853089,125.6857499
112.6333313,102
112.138167,107.5450815
119.2002417,98.04474815
124.727894,90.47212182
110.6333313,92
101.4525473,102.7495195
112.6764372,86.75781924
98.30653124,104.6792673
106.6333313,80
105.3270206,85.5246007
102.4557181,72.24119383
123.2706712,60.67355428
103.6333313,71
90.51009332,69.77947313
114.5770969,67.10044414
109.5425747,74.59532558
99.6333313,63
80.75152639,58.86109019
113.9217406,49.87665865
117.2403723,79.20662645
94.6333313,51
108.0819075,39.42930712
75.45194237,68.43181474
98.99663552,38.9964238
92.6333313,45
92.31453119,51.56531903
111.9169776,26.96618417
85.10753769,62.41608167
90.6333313,42
102.8130929,59.81681172
71.90404034,58.30009797
105.3430505,38.30762372
86.6333313,30
96.90173948,41.03634764
76.25316671,18.28126979
83.85723704,24.7859337
82.6333313,21
84.09626702,6.148040503
81.96081304,4.07905264
94.28697677,1.237683376
80.6333313,14
85.55976328,16.39178112
65.99394815,11.16664314
84.23792784,0.842715484
80.6333313,6
90.47234273,-8.600429694
86.18343294,-0.510703147
93.86432888,7.76268927
78.6333313,-5
61.32767138,-13.74117306
64.28233301,-4.065554372
95.08985453,-17.55777107
76.6333313,-14
70.46766643,-6.351438601
61.17456912,-29.1149142
83.09733587,-2.084411704
74.6333313,-21
60.23623506,-25.63479653
92.7301527,-12.20361653
66.30629409,-5.067901235
74.6333313,-25
67.14749314,-5.023306072
83.77044153,-11.56815047
76.01612727,-17.50048298
71.6333313,-33
69.53894465,-48.84171628
54.43486133,-31.76552378
52.24730214,-51.92579203
69.6333313,-39
51.85523046,-47.33043855
54.37842614,-42.5898742
81.87561384,-51.02695614
68.6333313,-41
75.53568033,-22.97242529
79.91468981,-50.06996019
83.85177367,-56.37083164
65.6333313,-47
62.38600507,-51.14223003
63.86011115,-48.79104591
76.44048704,-30.40017599
61.6333313,-51
64.99073331,-58.05953404
70.51320508,-39.15213559
64.61561275,-49.58565292
57.6333313,-55
46.28784443,-50.0337084
46.05831377,-67.82431694
75.41030192,-41.6254605
54.6333313,-59
68.02949167,-67.10707174
36.6257103,-40.75949023
70.45376004,-77.62374105
51.6333313,-61
62.25279907,-44.9074473
44.81297913,-65.36259114
55.08364211,-48.47331279
47.6333313,-66
51.32374166,-62.72941816
33.19301418,-82.40440822
65.71100198,-61.50021112
42.6333313,-71
35.98327515,-57.45310377
46.73433139,-61.13749271
26.741033,-54.27470844
40.6333313,-75
34.27481775,-83.65416341
56.59054351,-72.94543785
49.41916844,-92.03892106
36.6333313,-80
54.7986772,-74.50435818
50.33424942,-86.91513321
29.66920056,-81.76757328
32.6333313,-83
22.40983236,-71.073095
39.65771677,-78.52006778
43.4239885,-102.8211092
30.6333313,-86
33.68730592,-78.94847099
27.60332634,-83.48584207
24.71599395,-98.4841155
27.6333313,-89
19.34489765,-86.11036171
45.32352843,-91.5814966
38.76096865,-92.0701652
23.6333313,-91
41.77981105,-82.24312547
9.326280864,-76.67718954
29.88126681,-81.76071102
19.6333313,-91
4.281192914,-79.13113654
38.3340716,-102.6265059
27.65799788,-92.30237169
18.6333313,-92
11.4402662,-93.35873189
10.69926433,-88.34459172
32.49060741,-94.00588663
14.6333313,-94
-4.280801096,-107.3906961
-1.49501322,-96.95129583
8.068657372,-98.5541688
12.6333313,-95
1.087743932,-98.64740582
9.251402933,-97.29753278
24.94719895,-79.05284092
8.633331299,-95
0.791422045,-109.7974569
4.571667692,-89.92263364
11.47141192,-80.7611699
4.633331299,-95
-1.051436676,-108.9254203
6.438098539,-86.71419203
-11.76276481,-104.8515033
2.633331299,-95
-7.919733581,-114.8739104
17.64139508,-86.95520396
-9.738644468,-96.01822054
0.633331299,-95
6.915752102,-79.15602534
13.62445416,-85.2800492
1.736339855,-102.4235968
-1.366668701,-95
-1.374273213,-104.595355
0.64118964,-94.94198768
0.106496484,-76.12857598
-7.366668701,-90
-14.87957283,-74.68968573
-17.0239326,-99.37143457
-25.3749258,-109.1865689
-9.366668701,-89
-20.04998524,-70.73224956
-4.886975592,-85.02910025
-19.02544827,-84.10975258
-10.3666687,-88
-9.831413173,-83.71138609
4.495311879,-77.77117932
-24.05761755,-73.51940597
-10.3666687,-87
-10.33320029,-68.39223395
-7.586734908,-68.74341962
-29.9591628,-88.49031795
-13.3666687,-83
-22.71384998,-79.09037446
-20.2581638,-67.38011171
-21.28916616,-86.45226803
-15.3666687,-75
-27.9720297,-60.64073649
-5.380170497,-71.964687
-26.13076321,-57.95329699
-15.3666687,-71
-18.07547571,-84.61068079
-28.14901322,-58.05142691
-7.54360389,-70.5952053
-15.3666687,-70
-27.8216707,-86.90334765
-10.50513206,-70.13738294
-4.94489612,-87.15485176
-17.3666687,-69
-29.5515719,-72.45230268
-4.599181316,-78.71710201
-6.532764644,-68.25124784
-19.3666687,-65
-15.74061735,-60.13080283
-1.367235481,-55.57029679
-18.18428688,-59.55571163
-20.3666687,-62
-13.74639792,-74.55130567
-0.734579565,-66.26324993
-4.363981205,-79.40847684
-23.3666687,-59
-23.99542043,-55.01953723
-29.64659076,-41.36618892
-26.07044108,-73.41988189
-26.3666687,-57
-24.50385739,-39.15015955
-39.21226144,-53.05481656
-29.64617392,-76.82663329
-28.3666687,-53
-20.80678512,-40.45534263
-23.5597799,-64.11540144
-48.30772156,-55.94718956
-31.3666687,-49
-29.80773841,-46.96889125
-35.81292848,-50.58788651
-38.35400437,-42.12314723
-31.3666687,-49
-17.76268863,-40.01850654
-12.55119033,-48.64469176
-22.74925523,-39.74783596
-33.3666687,-49
-29.39168794,-46.07263753
-49.10943583,-31.43368118
-32.82816695,-48.39261806
-35.3666687,-45
-15.70152764,-55.37269216
-45.27639813,-36.62275691
-37.99251599,-38.9846442
-42.3666687,-35
-22.5789948,-23.37201761
-30.68203446,-48.61858991
-31.4543411,-42.58769621
-47.3666687,-33
-49.49748501,-39.574166
-39.18103585,-18.62976557
-36.61878258,-39.06074847
-51.3666687,-32
-44.54854403,-42.30241871
-33.48191305,-36.36739914
-49.76179249,-47.6389731
-53.3666687,-32
-48.07750497,-45.9518156
-53.67730608,-44.98280833
-60.79869898,-16.31893308
-57.3666687,-32
-38.25744811,-12.1322208
-37.49990558,-23.34760138
-74.20962435,-19.80593228
-62.3666687,-32
-45.49570326,-21.2651834
-47.92524922,-37.27728491
-50.35776595,-21.48768832
-65.3666687,-32
-59.38261425,-35.91711333
-49.71727941,-41.25077981
-78.34819917,-21.44556986
-71.3666687,-32
-78.25126087,-12.43114176
-80.26399352,-41.00348809
-61.42014737,-41.60278387
-75.3666687,-32
-83.80562936,-40.30944733
-78.53269869,-24.05823324
-69.32470996,-44.6311089
-77.3666687,-32
-60.15115341,-40.68913166
-72.61050739,-38.24609882
-95.85964665,-28.18979637
-82.3666687,-32
-97.78681233,-46.26979181
-80.8285034,-29.50161897
-92.21708023,-43.58766083
-85.3666687,-32
-68.6556756,-45.33323821
-92.33092549,-14.5555594
-101.1645293,-30.95901824
-88.3666687,-33
-79.85176417,-16.22572101
-93.69379219,-44.60348444
-107.3712238,-17.58402072
-93.3666687,-37
-74.88682325,-46.5590035
-80.89329216,-46.33208511
-83.94082084,-54.57363328
-98.3666687,-40
-82.99185534,-36.63841721
-92.85244916,-57.01265872
-99.61449407,-39.33291236
-101.3666687,-43
-82.13480586,-27.39577296
-82.10852181,-40.70900325
-102.9599835,-34.30393051
-104.3666687,-46
-88.49009558,-56.53663938
-118.207816,-47.06586548
-115.2680019,-48.83725613
-107.3666687,-48
-113.0774736,-40.25382252
-105.3216787,-42.40668762
-102.5273423,-43.49923691
-108.3666687,-51
-121.3034709,-41.23381889
-122.8894421,-70.99206607
-120.4704177,-33.46900187
-110.3666687,-54
-130.275202,-62.58695485
-120.3682352,-36.97238581
-117.0776895,-38.58972898
-112.3666687,-58
-113.8530875,-57.79806578
-105.8931805,-70.36698747
-106.1991895,-69.89604131
-112.3666687,-63
-115.6157482,-82.00397562
-97.08151938,-67.94893329
-108.7430662,-55.68598191
-114.3666687,-67
-111.5045038,-61.34780894
-113.3131116,-67.20442906
-133.1302957,-72.42753461
-117.3666687,-75
-113.2282255,-65.45754549
-109.2405345,-66.8321257
-115.7036313,-85.64976455
-119.3666687,-82
-102.9694539,-95.01818683
-121.0602206,-76.65343531
-109.054583,-92.51726482
-119.3666687,-85
-123.0032269,-81.18258381
-113.3363486,-92.94112847
-121.6504035,-75.56133809
-119.3666687,-88
-110.6765727,-103.5617973
-134.9628386,-81.54003728
-112.6760028,-72.78638358
-120.3666687,-90
-115.7902254,-93.38786235
-119.9399514,-97.62883019
-103.2930966,-99.66680262
-123.3666687,-95
-116.8199204,-76.86291803
-117.3589526,-96.46958507
-130.2622522,-98.36786265
-124.3666687,-100
-110.2656775,-104.7315056
-131.0213734,-102.4227774
